aanbellen; to ring the bell; 1
aanduiden; to point out, indicate; 4
aangaan; to start (a relationship) ; 7
aanhef, de; opening words, the; 1
aankloppen; to knock; 1
aankomstplaats, de; finish, the; 5
aanraken; to touch; 5
aanrecht, het; kitchen counter, the; 4
aanspannen; to tighten; 5
aansporen; to encourage; 5
aantal, het; number, the; 4
aantrekkelijk; appealing; 8
aanwezig; present; 1
aardappelpuree, de; mashed potatoes, the; 3
abonnement, het; season ticket, the; 5
actief; active, actively; 7
afgieten; to pour off; 3
afhangen van; to depend on; 4
afkeer, de; aversion to, the; 3
rechts/links afslaan; to turn (right/left) ; 2
afsluiting, de; closing words, the; 1
afspraakje, het; date, the; 3
afstand, de; distance, the; 5
afwas, de; dishes, the; 3
al; already; 4
algemeen; general; 4
alleen; alone; 7
allergisch; allergic; 6
alternatief; alternative; 2
aluminium, het; aluminium, the; 4
andersom; the other way around; 5
antiek; antique; 4
appelmoes, de; appel sauce, the; 3
arm, de; arm, the; 3
armoede, de; poverty, the; 3
atleet, de; athlete, the; 5
automatisch; automatically; 7
autosnelweg, de; highway, the; 2
autoweg, de; highway, the; 2
azijn, de; vinegar, the; 3
baas, de; boss, the; 1
bad, het; bathtub, the; 4
bal, de; ball, the; 5
bang; afraid, scared; 6
bankstel, het; sofa and chairs, the; 4
barman, de; bartender, the; 2
bedanken; to thank; 2
been, het; leg, the; 5
beetgaar; cooked but still crunchy; 3
behoorlijk; quite; 2
beide; both; 7
beïnvloeden; to influence; 1
bekijken; to look at; 1
beklimmen; to climb; 1
belachelijk; ridiculous; 8
belofte, de; promise, the; 3
benaming, de; name, the; 5
benoemen; to name; 3
beoefenen; to practise, to play; 5
beoordelen; to judge; 3
beoordeling, de; judgement, the; 8
bepaald; particular; 4
bereiken; to achieve; 8
beschadigen; to damage; 6
beschermen; to protect; 3
beschouwen; to consider; 8
beslissen; to decide; 8
beslissing, de; decision, the; 8
bestaan uit; to consist of; 5
beste; dear; 1
besteden; to spend (time) ; 8
bestek, het; silverware, the; 3
bestrooien; to sprinkle; 3
bestuurder, de; driver, the; 2
beterschap; get well; 6
beton, het; concrete, the; 4
bevolking, de; population, the; 4
bewegen; to move; 5
beweging, de; movement, the; 5
bewolkt; cloudy; 1
bezienswaardigheid, de; sight, the; 1
bezig zijn; to be doing something; 7
bezigheid, de; activity, the; 1
bij voorbaat; in advance; 5
bijzonder; special; 4
binnenkomen; to enter; 5
binnenland, het; inland; 1
bitter; bitter; 3
blij; happy; 2
blijken; to seem, to appear; 2
bloeden; to bleed; 6
bloei, de; prime, the; 8
bloem, de; flower, the; 1
blozen; to blush; 7
bocht, de; curve, the; 2
boekenkast, de; bookcase, the; 4
boerderij, de; farm, the; 1
boeren; to burp; 3
boos; angry; 8
bord, het; traffic sign, the; 2
bord, het; plate, the; 3
borgpasje, het; deposit pass, the; 5
borst, de; breast, the; 5
bouwmarkt, de; do-it-yourself shop, the; 4
boven; above; 5
braden; to roast; 3
breken; to break; 7
bromfiets, de; motorbike, the; 2
bui, de; shower, downpour, the; 1
buigen; to bow; 5
buik, de; belly, the; 5
buikgriep, de; tummy flu, the; 6
buikpijn, de; stomach ache, the; 6
buitenlands; foreign; 4
bureaustoel, de; office chair, the; 4
buurmeisje, het; girl next door, the; 7
cadeau, het; gift, the; 8
café, het; bar, the; 1
carnaval, het; fair, the; 2
carrière, de; career, the; 5
cijfer, het; digit, the; 4
circa; approximately; 1
citroen, de; lemon, the; 3
collega, de; colleague, the; 8
comfortabel; comfortable; 4
compliment, het; compliment, the; 7
conditie, de; condition, shape, the; 5
contrast, het; contrast, the; 4
controleur, de; inspector, the; 2
culinair; culinary; 3
cursus, de; course, the; 2
daardoor; consequently; 1
dagelijks; daily; 2
dakterras, het; roof terrace, the; 4
dame, de; lady, the; 5
dank, de; thanks; 5
dankzij; thanks to; 5
deel, het; part, the; 5
deelnemen; to take part; 8
definitief; final, forever; 7
dekbedovertrek, het; quilt cover, the; 4
deken, de; blanket, the; 4
deur, de; door, the; 4
diagnose, de; diagnosis, the; 6
dichtdoen; to close; 2
diepte, de; depth, the; 4
dijk, de; dike, the; 1
directheid, de; directness, the; 8
dokter, de; medic, doctor, the; 6
door; by; 6
doorbrengen; to spend time; 4
doorgaan; to proceed, to continue; 5
doorlopen; to pass by, pass through; 4
doorslikken; to swallow; 6
doorsnee; average; 4
doorzetten; to persevere; 5
dorp, het; village, the; 1
dorst, de; thirst, the; 6
dosering, de; dosage, the; 6
dosis, de; dose, the; 6
douche, de; shower, the; 4
draaien; to turn; 1
dronken; drunk; 2
droog; dry; 1
droom, de; dream, the; 4
duidelijk; clear; 2
duim, de; thumb, the; 6
duizelig; dizzy; 6
durven; to dare; 7
dus; so, thus, therefore; 5
eenmalig; one-time only; 5
eenrichtingsweg, de; one-way road, the; 2
eens; once; 5
eens; in agreement; 8
eerlijkheid, de; honesty, the; 8
eetkamer, de; dining room, the; 4
eetlepel, de; tablespoon, the; 3
eettafel, de; dining table, the; 4
eeuw, de; century, the; 4
efficiëntie, de; efficiency, the; 8
ego, het; ego, the; 8
eigenaar, de; owner, the; 4
eigenwijs; self-willed, obstinate; 6
eiland, het; island, the; 1
eind, het; end, the; 2
elkaar; each other; 7
elleboog, de; elbow, the; 3
ellende, de; misery, the; 5
emotie, de; emotion, the; 8
energie, de; energy, the; 5
enkel, de; ankle, the; 5
enkelpartij, de; single match, the; 5
enorm; enormous; 4
enthousiast; enthusiastic; 8
entreeprijs, de; admission, the; 2
erkennen; to acknowledge; 7
erkenning, de; acknowledgement, the; 7
ernstig; severe; 6
eter, de; eater, the; 8
evenement, het; event, the; 5
ex, de; ex, the; 7
fantaseren; to fantasize; 7
fauteuil, de; armchair, the; 4
feestdag, de; public holiday, the; 2
feit, het; fact, the; 8
felicitatie, de; congratulations, the; 8
fietser, de; cyclist, the; 2
fietspad, het; bicycle path, the; 2
figuur, het; figure, the; 7
flauw; bland, silly; 7
flauwekul, de; nonsense, the; 8
flauwvallen; to faint; 6
folder, de; folder, the; 8
formeel; formal; 5
fris; fresh; 3
fysiotherapeut, de; physical therapist, the; 6
gaar; well-done; 3
gas, het; gas, the; 3
gast, de; guest, the; 3
gat, het; hole, the; 1
geachte; dear; 5
gebied, het; area, the; 1
gebouw, het; building, the; 1
gebruiken; to use; 1
gedoe, het; fuss, the; 4
geen enkel; not a single; 4
gehandicapt; handicapped; 5
geheel; completely; 4
gek; crazy; 8
geldig; valid; 2
gelijk hebben; to be right; 4
geloven; to believe; 7
geluid, het; sound, the; 3
gematigd; temperate; 1
gemeente, de; municipality, the; 7
gemiddeld; average; 1
gemiddelde, het; average, the; 6
geneesmiddel, het; medication, the; 6
genoeg; enough; 3
gerecht, het; dish, the; 3
geregistreerd partnerschap, het; registered partnership, the; 7
geruststellen; to reassure; 8
geslacht, het; sex, the; 7
gesloten; closed; 2
gevaarlijk; dangerous; 8
gevoel, het; feeling, the; 1
gevolgd door; followed by; 5
geweldig; terrific, great; 3
gezamenlijk; collective, joint; 5
gezelschap, het; company, the; 3
gezicht, het; face, the; 6
gezondheid, de; health, the; 6
gids, de; guide, the; 1
glas, het; glass, the; 1
glimlachen; to smile; 7
graad, de; degree, the; 1
grapje, het; joke, the; 7
griep, de; flu, the; 6
griepprik, de; influenza shot, the; 6
groeien; to grow; 8
groet, de; salutation, the; 1
groetjes, de; regards; 1
grof; rude; 8
gymschoen, de; sneaker, the; 5
hagelen; to hail; 1
hal, de; hall, the; 4
halen; to fetch; 6
hals, de; throat, the; 5
ham, de; ham, the; 3
hand, de; hand, the; 5
handdoek, de; towel, the; 5
hapje, het; bite, the; 3
hartklopping, de; heart fluttering, the; 7
hartstikke; very; 4
hechten; to stitch; 6
heer; Sir; 5
heer, de; (gentle)man, the; 5
heet; hot; 1
Hemelvaartsdag, de; Ascension Day; 2
herinneren (zich -); to remember; 3
herkomst, de; origins, the; 4
het is aan; it is an ‘item’;7
hetzelfde; the same; 4
heuvel, de; hill, the; 1
hiërarchie, de; hierarchy, the; 8
hieronder; below; 6
hinderen; to be in the way; 2
hitte, de; heat, the; 7
hoek, de; corner, the; 4
hoelang; how long; 2
hoesten; to cough; 6
hoeveelheid, de; amount, the; 3
homohuwelijk, het; gay marriage, the; 7
homoseksueel; homosexual; 7
hoofd, het; head, the; 5
hoofdpijn, de; headache, the; 6
hoofdstad, de; capital, the; 5
hoog; high; 5
hoogachtend; sincerely; 5
hopeloos; hopeless; 7
hout, het; wood, the; 4
huilen; to cry; 7
huisarts, de; family doctor, the; 6
huisgenoot, de; housemate, the; 7
huiskamer, de; living room, the; 4
huiswerk, het; homework, the; 8
hutspot, de; stew, the; 3
huwelijk, het; marriage, the; 7
huwelijkscontract, het; marriage contract, the; 7
ijs, het; ice, the; 5
ijssalon, de; ice-cream parlour, the; 7
ijzer, het; iron, the; 4
in de verte; in the distance; 1
in verband met; concerning; 8
in vergelijking met; compared to; 6
inademen; to breathe in; 6
inbreng, de; share, contribution, the; 8
ineens; suddenly; 1
informeel; informal; 1
inkoken; to reduce in cooking; 3
innemen; to take; 6
inrichting, de; furnishings, the; 4
inschenken; to pour; 3
inschrijfgeld, het; enrolment fees, the; 5
instructie, de; instruction, the; 5
invloed, de; influence, the; 4
inwoner, de; resident, the; 6
irriteren; to irritate; 3
jammer; what a pity; 7
jodium, het; iodine, the; 6
juichen; to cheer; 7
kaal; barren, empty; 1
kamperen; to camp out; 1
kampioenschap, het; championship, the; 5
kans, de; chance, the; 1
kant, de; side, the; 1
kapsel, het; hair style, the; 7
katoen, het; cotton, the; 4
keelpijn, de; sore throat, the; 6
kern, de; main point, the; 8
kerstdag, de; Christmas; 2
ketchup, de; tomato ketchup, the; 3
kies, de; molar, the; 6
kin, de; chin, the; 6
klaar; finished, ready; 1
klacht, de; complaint, symptom, the; 6
klagen; to complain; 8
kleding, de; clothing, the; 8
kledingkast, de; closet, wardrobe, the; 4
klemtoon, de; emphasis, the; 4
kleren uitdoen; to take clothes off; 6
klimmen; to climb; 5
kloppen; to be right; 1
knapperig; crunchy; 3
knie, de; knee, the; 5
koekenpan, de; frying pan, the; 3
koel; cool; 1
koelkast, de; refrigerator, the; 4
kolom, de; column, the; 7
kom, de; bowl, the; 3
komend; coming; 5
koningin, de; queen, the; 1
Koningsdag, de; King’s Day; 2
koorts, de; fever, the; 6
koud; cold; 1
kruis, het; cross, the; 1
kruispunt, het; crossing, the; 2
kussen; to kiss; 7
kust, de; coast, the; 1
kwartier, het; quarter of an hour; 2
kwijt; lost; 2
kwijtraken; to lose; 2
laag; slow, low; 3
laatste; last; 3
lachen; to laugh; 4
lade, de; drawer, the; 4
laken, het; sheet, the; 4
lamp, de; lamp, the; 4
landen; to land; 5
landschap, het; landscape, the; 1
laptop, de; laptop, the; 4
last hebben van; to suffer from (a pain);6
lastig; troublesome, awkward; 8
laten; to let; 3
later; later; 1
lawaai, het; noise, the; 8
leiden tot; to lead to; 5
lente, de; spring, the; 1
lepel, de; spoon, the; 3
les, de; class, the; 2
leven, het; life; 8
lever, de; liver, the; 6
lichaamsdeel, het; part of the body, the; 5
licht, het; light, the; 4
lied, het; song, the; 1
liefs; love; 1
lieve; dear; 1
lieverd, de; darling, the; 7
links; left; 2
linksaf; to the left; 2
lip, de; lip, the; 6
loft, de; loft, the; 4
logisch; logical; 3
lucht, de; sky, the; 1
lusten; to like; 3
(…)maal; times; 6
management, het; management, the; 8
massaal; massive; 4
mat, de; mat, the; 5
materiaal, het; material, the; 4
maximaal; maximum; 5
medewerking, de; cooperation, the; 5
medicijn, het; medicine, medication, the; 6
meedoen; to join; 8
meekrijgen; to get (something) to take home; 6
meel, het; flour, the; 1
meer, het; lake, the; 1
meevallen; to be better than expected; 3
menen; to be serious; 8
menstruatie, de; menstruation, the; 6
merken; to notice; 1
mes, het; knife, the; 3
met behulp van; using, with the aid of; 5
meten; to measure; 6
metro, de; tube, subway, the; 1
meubel, het; furniture, the; 4
mevrouw; Madam; 5
midden, het; middle, the; 4
min; minus; 1
minimaal; minimum; 6
minuut, de; minute, the; 2
misselijk; nauseous; 6
missen; to miss; 7
misten; to be foggy; 1
modern; modern; 4
mogelijk; possible; 2
molen, de; windmill, the; 1
mond, de; mouth, the; 3
multicultureel; multicultural; 4
musicus, de; musician, the; 1
naar achteren; backward; 5
naar voren; ahead, forward; 5
nachtkastje, het; night table, the; 4
nadoen; to imitate; 5
namelijk; namely; 7
nat; wet; 1
neerslag, de; rainfall, the; 1
negatief; negative; 8
nek, de; neck, the; 5
nemen; to take; 2
net; just; 7
net als; just like; 2
niemand; no one; 4
nier, de; kidney, the; 6
niet hoeven; not need to; 3
nog; still; 4
noorden, het; north, the; 1
nootmuskaat, de; nutmeg, the; 3
norm, de; norm, the; 4
nostalgie, de; nostalgia, the; 4
nylon, het; nylon, the; 4
officieel; officially; 7
olijfolie, de; olive oil, the; 3
(verband) omdoen; to bandage; 6
omgeving, de; surroundings, the; 4
omhoog; up; 5
omlaag; down; 5
omroepen; to announce; 2
omschrijving, de; description, the; 5
omtrek, de; circumference, the; 4
onbekend; unknown; 2
onder; under; 1
onderdeel, het; part, the; 5
ondertussen; meanwhile; 3
onderweg; on the way; 2
onderzoeken; to examine; 6
oneens; in disagreement; 8
ongemakkelijk; uncomfortable, uneasy; 8
onmiddellijk; immediately; 6
ontdekken; to discover; 4
ontmoeten; to meet; 7
ontsmetten; to disinfect; 6
ontspannen; relaxed; 6
ontsteking, de; inflammation, the; 6
ontvangen; to receive; 4
onverplicht; not mandatory; 2
onverslaanbaar; unbeatable; 5
onzin, de; nonsense, the; 3
oog, het; eye, the; 6
oor, het; ear, the; 6
oosten, het; east, the; 1
op basis van; based on; 8
op en neer; up and down; 5
openheid, de; frankness, openness, the; 8
openingstijd, de; opening hours, the; 2
opereren; to operate; 6
opeten; to eat; 3
opgroeien; to grow up; 3
opklaring, de; sunny period, the; 1
opletten; to watch out; 2
opmaken; to put on make-up; 8
oprecht; sincere; 8
oproepen; to call up; 3
opscheppen; to brag; 8
opschieten; to hurry up; 5
optrekken; to pull up; 5
opzeggen; to cancel; 5
opzij; aside; 5
organisatie, de; organisation, the; 8
ouderwets; old-fashioned; 4
oven, de; oven, the; 3
ovenschotel, de; oven dish, the; 3
over en uit; all over; 7
overbelast; overburdened; 6
overbruggen; to bridge; 5
overdag; in the daytime; 1
overdrijven; to exaggerate; 7
overeenkomst, de; similarity, the; 4
overgeven; to vomit; 6
overleg, het; consultation, the; 8
overmorgen; the day after tomorrow; 4
paasmaandag, de; Easter Monday; 2
pakken; to fetch; 4
pan, de; pan, pot, the; 3
paraplu, de; umbrella, the; 8
parfumerie, de; perfume shop, the; 8
park, het; park, the; 1
partner, de; partner, the; 7
pas; just, only; 4
passen bij; to match; 4
patiënt, de; patient, the; 6
patroon, het; pattern, the; 4
peper, de; pepper, the; 3
percentage, het; percentage, the; 4
periode, de; period, the; 1
persoonlijk; personal; 7
pijn, de; pain, ache, the; 5
pikant; piquant, spicy; 3
pil, de; pill, the; 6
pinkstermaandag, de; Pentecost; 2
pittig; spicy; 3
plaatje, het; picture, the; 2
plastic, het; plastic, the; 4
plat; flat; 1
plattegrond, de; street map, the; 2
platteland, het; countryside, the; 1
pleister, de; sticking plaster, bandaid, the; 6
plek, de; spot, the; 4
politie, de; police, the; 8
pols, de; wrist, the; 5
polsstokverspringen, het; pole jumping, the; 5
populair; popular; 5
positief; positive; 8
prachtig; wonderful; 4
prettig; nice; 3
prijs, de; price, the; 5
principe, het; principle, the; 3
privéleven, het; private life, the; 8
procent, het; percent, the; 4
proeven; to taste; 3
proost; cheers; 3
protestants; Protestant; 7
provincie, de; province, the; 1
punctualiteit, de; punctuality, the; 8
pureestamper, de; masher, the; 3
racket, het; racket, the; 5
rangtelwoord, het; ordinal number, the; 2
reageren; to react; 7
recept, het; recipe, the; 3
rechtdoor; straight ahead; 2
rechterhand, de; right hand, the; 2
rechts; (to the) right; 2
reden, de; reason, the; 5
regel, de; rule, the; 3
regelen; to arrange; 7
regen, de; rain, the; 1
regenen; to rain; 1
regenjas, de; raincoat, the; 8
reiziger, de; passenger, the; 2
relatie, de; relationship, the; 7
relatief; relatively; 6
rijbaan, de; lane, the; 2
rijrichting, de; traffic direction, the; 2
rijtjeshuis, het; terrace, row house, the; 4
rillen; to shiver, to shudder; 6
ritje, het; ride, the; 2
rivier, de; river, the; 1
roepen; to call; 2
roeren; to stir; 6
rolstoel, de; wheelchair, the; 5
rondje, het; round, the; 5
rondkijken; to look around; 1
roosje, het; rosette, the; 3
rot; bad; 7
rotstreek, de; dirty trick, the; 7
route, de; route, the; 2
routebeschrijving, de; route, the; 2
rug, de; back, the; 2
ruim; spacious; 4
ruim van tevoren; way beforehand; 8
ruimte, de; space, the; 4
rust, de; half-time, intermission, the; 5
ruziemaken; to fight; 7
salontafel, de; sidetable, the; 4
samenleving, de; society, the; 4
sappig; juicy; 3
satijn, het; satin, the; 4
schadelijk; harmful; 6
schat, de; dear, the; 7
scheiden; to divorce; 7
schenken; to pour; 3
scherp; sharp, spicy; 3
schijnen; to shine (sun);1
schillen; to peel; 3
schoppen; to kick; 5
schouder, de; shoulder, the; 5
schrokken; to gobble; 3
scoren; to score; 6
serieus; serious; 8
serveren; to serve; 3
servet, het; napkin, the; 3
simpel; simple; 3
skiën; to go skiing; 1
slaapkamer, de; bedroom, the; 4
sloot, de; ditch, the; 1
sluiten; to close; 2
slurpen; to slurp; 3
smaak, de; taste, the; 3
smaakvol; tasty; 3
smakelijk; tasty; 3
smakeloos; tasteless; 3
smakken; to smack one’s lips; 3
smelten; to melt; 3
smoesje, het; excuse, the; 5
snee, de; cut, the; 6
sneeuw, de; snow, the; 1
sneeuwen; to snow; 1
snijden; to cut with a knife; 3
soort, het; kind of, the; 4
spannend; exciting; 2
spiegel, de; mirror, the; 4
spier, de; muscle, the; 5
spijten; to be sorry; 1
sporter, de; athlete, the; 5
sportschool, de; gym, the; 5
spreekuur, het; office hours, the; 8
spreiden; to spread; 5
springen; to jump; 5
sprint, de; sprint, the; 5
sprong, de; jump, the; 5
spuitje, het; injection, the; 6
spul, het; stuff, the; 4
stad, de; town, the; 1
stampen; to mash; 3
stappen; to go out; 2
startplaats, de; starting point, the; 5
statistiek, de; statistics, the; 8
stellen; to ask (a question);2
stelling, de; opinion, the; 8
sterk; strong; 5
steunen; to support; 3
stoplicht, het; traffic light, the; 2
stoppen; to stop; 5
stormen; to blow up a gale; 1
stoten; to bump, to stumble against; 6
strekken; to stretch; 5
strip, de; comic, the; 8
stripverhaal, het; comic, the; 4
structuur, de; structure, the; 8
studeerkamer, de; study, the; 4
