’s avonds;in the evening;4
’s middags;in the afternoon;4
’s morgens;in the morning;4
aan de hand;the matter;10
aanbieding, de;offer, the;5
aangenaam;nice, pleasant;1
aankleden (zich -);to get dressed;4
aankomen;to arrive;6
aankomsttijd, de;arrival time, the;6
aanstaande;coming;6
aantrekken;to put on;4
aanwijzen;to point at;1
aardappelpuree, de;mashed potatoes, the;9
aardbei, de;strawberry, the;9
aardig;nice, friendly;3
acht;eight;1
achterkant, de;back, the;9
achternaam, de;last name, the;1
adres, het;address, the;2
advies, het;advice, the;10
af en toe;once in a while, sometimes;7
afgelopen;last;8
aflopen;to finish;8
afrekenen;to pay, to settle the bill;9
afspreken;to make an appointment;4
afwasmiddel, het;dishwashing detergent, the;5
afwassen;to wash the dishes;4
afwerken;to finish;10
agenda, de;agenda, the;4
alle;all;5
alleen;alone;9
allemaal;all / everything;9
alles;everything;1
als;when / as / if;6
altijd;always;3
ander (e);other;1
anders;different;7
appartement, het;apartment, the;7
appel, de;apple, the;5
auto, de;car, the;2
april;April;5
augustus;August;5
avond, de;evening, the;4
baard, de;beard, the;3
bad, het;bath, the;6
badkamer, de;bathroom, the;7
balkon, het;balcony, the;7
bank, de;couch, bench, the / bank, the;7
bankpas, de;cash card, the;8
beantwoorden;to answer;1
bed, het;bed, the;4
bedenken;to think;8
bedoelen;to mean;6
bedrag, het;amount, the;6
beeldscherm, het;screen, the;6
beestje, het;little animal, the;8
begane grond, de;ground floor, the;7
begeleiden;to accompany;2
beginnen;to begin;4
begrijpen;to understand;5
bekendstaan om;to be known for;5
belangrijk;important;7
beleefd;polite;9
bellen;to call (on the phone);6
benieuwd;curious;10
berg, de;mountain, the;8
beroep, het;profession, the;3
beschrijven;to describe;3
best;good;1
best wel;quite;2
bestaan;to be / to exist;7
bestellen;to order;9
betaalpas, de;bank card, the;6
betalen;to pay;5
bewegen;to move;2
bezichtigen;to view;8
bezoek, het;visit, the;6
bezoeken;to visit;8
bibliotheek, de;library, the;7
